,Date,year,catchment,RCP26,RCP45,RCP85
4017,1981-12-31,1981,ohrid,0.0185,0.21839999999999998,0.2785
4018,1982-01-01,1982,ohrid,0.0,0.2206,0.2705
4019,1982-01-02,1982,ohrid,0.004,0.22360000000000002,0.274
4020,1982-01-03,1982,ohrid,0.0,0.223,0.27275
4021,1982-01-04,1982,ohrid,0.0015,0.23120000000000002,0.2825
4022,1982-01-05,1982,ohrid,0.0,0.2394,0.28875
4023,1982-01-06,1982,ohrid,0.0015,0.2472,0.3005
4024,1982-01-07,1982,ohrid,0.002,0.253,0.30425
4025,1982-01-08,1982,ohrid,0.0045,0.2572,0.30874999999999997
4026,1982-01-09,1982,ohrid,0.0115,0.2632,0.3155
4027,1982-01-10,1982,ohrid,0.007,0.2644,0.31625000000000003
4028,1982-01-11,1982,ohrid,0.0,0.2694,0.31575
4029,1982-01-12,1982,ohrid,0.001,0.27220000000000005,0.325
4030,1982-01-13,1982,ohrid,0.0045,0.2882,0.34450000000000003
4031,1982-01-14,1982,ohrid,0.0025,0.29159999999999997,0.347
4032,1982-01-15,1982,ohrid,0.004,0.2942,0.35050000000000003
4033,1982-01-16,1982,ohrid,0.0045,0.3054,0.362
4034,1982-01-17,1982,ohrid,0.0065,0.32199999999999995,0.37925
4035,1982-01-18,1982,ohrid,0.013,0.3278,0.3855
4036,1982-01-19,1982,ohrid,0.013,0.3302,0.388
4037,1982-01-20,1982,ohrid,0.0155,0.33540000000000003,0.3915
4038,1982-01-21,1982,ohrid,0.0155,0.33940000000000003,0.3935
4039,1982-01-22,1982,ohrid,0.016,0.34199999999999997,0.396
4040,1982-01-23,1982,ohrid,0.0175,0.34500000000000003,0.4
4041,1982-01-24,1982,ohrid,0.0165,0.3538,0.405
4042,1982-01-25,1982,ohrid,0.018,0.3556,0.40750000000000003
4043,1982-01-26,1982,ohrid,0.023,0.368,0.42300000000000004
4044,1982-01-27,1982,ohrid,0.0245,0.37039999999999995,0.42574999999999996
4045,1982-01-28,1982,ohrid,0.0245,0.3722,0.42774999999999996
4046,1982-01-29,1982,ohrid,0.024,0.381,0.43775000000000003
4047,1982-01-30,1982,ohrid,0.0265,0.3836,0.4415
4048,1982-01-31,1982,ohrid,0.0275,0.3876,0.44625000000000004
4049,1982-02-01,1982,ohrid,0.028,0.3908,0.44975000000000004
4050,1982-02-02,1982,ohrid,0.0285,0.39479999999999993,0.45449999999999996
4051,1982-02-03,1982,ohrid,0.0335,0.40499999999999997,0.46724999999999994
4052,1982-02-04,1982,ohrid,0.036,0.4284,0.49650000000000005
4053,1982-02-05,1982,ohrid,0.037,0.45359999999999995,0.5275000000000001
